initstates.csv
181440 puzzles
puzzle,d,count
013842675,18,2
013842756,16,1
013845276,10,1
013845627,14,1
013845762,12,1
013846257,16,1
013846572,18,1
013846725,14,1
013847265,16,1
013847526,20,3
013847652,18,1
013852476,18,3
013852647,20,2
013852764,12,1
013854267,18,4
013854672,16,1
013854726,10,1
013856274,12,2
013856427,16,1
013856742,14,1
013857246,18,3
013857462,20,3
013857624,16,2
013862457,20,1
013862574,14,1
013862745,16,2
013864275,8,1
013864527,18,3
013864752,10,1
013865247,14,1
013865472,16,2
013865724,14,1
013867254,14,2
013867425,18,2
013867542,16,1
013872465,14,1
013872546,14,1
013872654,10,1
013874256,16,1
013874562,16,2
013874625,8,1
013875264,18,1
013875426,12,1
013875642,12,1
013876245,20,2
013876452,16,1
013876524,12,1
014235687,14,1
014235768,14,1
014235876,10,1
014236578,20,1
014236785,18,2
014236857,14,1
014237586,22,5
014237658,18,1
014237865,14,1
014238567,24,4
014238675,18,2
014238756,18,1
014253678,24,3
014253786,20,2
014253867,22,2
014256387,18,1
014256738,22,1
014256873,20,2
014257368,22,1
014257683,24,4
014257836,22,1
014258376,22,2
014258637,26,6
014258763,20,1
014263587,22,2
014263758,20,1
014263875,18,2
014265378,20,1
014265783,22,1
014265837,18,1
014267385,20,2
014267538,24,4
014267853,22,4
014268357,26,5
014268573,22,1
014268735,22,6
014273568,26,9
014273685,22,12
014273856,22,2
014275386,16,1
014275638,20,1
014275863,18,1
014276358,22,1
014276583,24,4
014276835,22,1
014278365,22,5
014278536,22,1
014278653,18,1
014283576,22,2
014283657,22,2
014283765,18,3
014285367,20,1
014285673,22,1
014285736,16,1
014286375,22,1
014286537,20,1
014286753,20,2
014287356,26,2
014287563,24,1
014287635,20,1
014325678,18,2
014325786,14,2
014325867,16,2
014326587,22,3
014326758,16,4
014326875,14,2
014327568,24,8
014327685,16,2
014327856,18,4
014328576,24,5
014328657,20,4
014328765,12,2
014352687,18,2
014352768,18,2
014352876,14,1
014356278,18,3
014356782,22,1
014356827,20,2
014357286,20,3
014357628,22,1
014357862,20,1
014358267,22,3
014358672,24,5
014358726,20,1
014362578,22,1
014362785,20,3
014362857,18,1
014365287,18,2
014365728,22,5
014365872,18,1
014367258,20,1
014367582,24,5
014367825,20,1
014368275,14,1
014368527,24,5
014368752,20,2
014372586,20,1
014372658,18,1
014372865,16,1
014375268,20,3
014375682,20,1
014375826,18,2
014376285,16,1
014376528,20,2
014376852,22,6
014378256,22,1
014378562,24,3
014378625,16,1
014382567,24,5
014382675,20,2
014382756,20,2
014385276,16,3
014385627,20,3
014385762,18,1
014386257,20,1
014386572,24,2
014386725,18,1
014387265,18,1
014387526,22,2
014387652,22,1
014523687,20,1
014523768,20,2
014523876,16,1
014526378,20,3
014526783,22,1
014526837,20,2
014527386,22,3
014527638,24,6
014527863,20,1
014528367,24,6
014528673,22,1
014528736,20,2
014532678,22,7
014532786,20,4
014532867,18,3
014536287,16,1
014536728,18,1
014536872,14,2
014537268,20,2
014537682,18,3
014537826,18,2
014538276,20,3
014538627,22,4
014538762,16,1
014562387,20,1
014562738,20,1
014562873,16,2
014563278,24,4
014563782,26,6
014563827,20,2
014567283,24,2
014567328,24,2
014567832,20,1
014568237,26,1
014568372,22,2
014568723,24,2
014572368,22,1
014572683,20,4
014572836,18,1
014573286,20,1
014573628,24,4
014573862,22,1
014576238,24,2
014576382,20,2
014576823,22,3
014578263,26,4
014578326,26,13
014578632,22,1
014582376,22,3
014582637,22,2
014582763,18,2
014583267,24,1
014583672,26,8
014583726,22,8
014586273,24,1
014586327,22,1
014586732,20,2
014587236,24,3
014587362,24,5
014587623,26,12
014623578,20,1
014623785,22,9
014623857,20,2
014625387,18,3
014625738,20,1
014625873,20,4
014627358,20,2
014627583,22,2
014627835,18,1
014628375,16,1
014628537,22,2
014628753,18,1
014632587,20,5
014632758,20,4
014632875,10,2
014635278,16,1
014635782,20,2
014635827,12,1
014637285,18,4
014637528,18,1
014637852,14,2
014638257,20,2
014638572,16,1
014638725,18,2
014652378,20,2
014652783,20,2
014652837,16,2
014653287,20,1
014653728,24,3
014653872,20,2
014657238,24,4
014657382,20,5
014657823,22,5
014658273,22,1
014658327,24,2
014658732,22,2
014672385,16,2
014672538,18,1
014672853,14,2
014673258,24,5
014673582,22,3
014673825,20,3
014675283,22,1
014675328,22,3
014675832,20,3
014678235,22,2
014678352,22,6
014678523,22,1
014682357,22,2
014682573,18,2
014682735,16,2
014683275,20,1
014683527,22,4
014683752,18,2
014685237,18,1
014685372,22,1
014685723,20,2
014687253,22,2
014687325,24,6
014687532,20,3
014723586,20,2
014723658,16,1
014723865,18,2
014725368,18,3
014725683,18,1
014725836,16,1
014726385,18,1
014726538,18,1
014726853,20,2
014728356,22,6
014728563,20,1
014728635,14,1
014732568,18,2
014732685,10,2
014732856,22,9
014735286,12,1
014735628,12,1
014735862,18,1
014736258,16,1
014736582,14,1
014736825,18,2
014738265,14,1
014738526,16,1
014738652,12,1
014752386,16,1
014752638,16,3
014752863,18,1
014753268,20,1
014753682,20,2
014753826,20,1
014756283,22,2
014756328,20,1
014756832,20,1
014758236,22,2
014758362,18,1
014758623,20,1
014762358,20,2
014762583,16,2
014762835,16,2
014763285,20,4
014763528,20,3
014763852,18,2
014765238,18,1
014765382,20,2
014765823,20,2
014768253,22,5
014768325,20,2
014768532,18,2
014782365,16,3
014782536,16,1
014782653,12,1
014783256,22,1
014783562,22,3
014783625,18,2
014785263,18,1
014785326,18,1
014785632,18,1
014786235,24,7
014786352,20,1
014786523,20,1
014823567,22,3
014823675,18,1
014823756,18,2
014825376,14,2
014825637,18,2
014825763,16,2
014826357,20,2
014826573,20,1
014826735,16,2
014827365,20,5
014827536,20,1
014827653,18,1
014832576,18,1
014832657,18,1
014832765,6,1
014835267,16,2
014835672,16,1
014835726,8,1
014836275,14,1
014836527,18,1
014836752,10,1
014837256,18,1
014837562,18,2
014837625,14,1
014852367,20,2
014852673,16,1
014852736,12,1
014853276,16,1
014853627,20,1
014853762,16,1
014856237,20,2
014856372,16,3
014856723,18,3
014857263,22,1
014857326,22,4
014857632,20,2
014862375,12,1
014862537,20,2
014862753,10,1
014863257,20,1
014863572,18,1
014863725,16,2
014865273,20,2
014865327,18,1
014865732,16,2
014867235,20,1
014867352,18,2
014867523,20,1
014872356,18,1
014872563,16,1
014872635,12,1
014873265,16,1
014873526,18,1
014873652,14,1
014875236,14,1
014875362,20,1
014875623,16,1
014876253,18,1
014876325,20,1
014876532,16,1
015234678,22,1
015234786,20,1
015234867,18,1
015236487,16,1
015236748,18,1
015236874,14,1
015237468,20,2
015237684,18,1
015237846,18,1
015238476,20,2
015238647,22,2
015238764,18,1
015243687,18,1
015243768,18,1
015243876,14,1
015246378,22,2
015246783,22,4
015246837,16,1
015247386,22,1
015247638,20,1
015247863,18,1
015248367,26,7
015248673,22,2
015248736,20,4
015263478,24,1
015263784,22,3
015263847,20,1
015264387,22,1
015264738,26,8
015264873,22,1
015267348,24,1
015267483,24,3
015267834,24,2
015268374,24,1
015268437,24,1
015268743,22,3
015273486,20,1
015273648,22,1
015273864,18,1
015274368,26,6
015274683,24,1
015274836,24,3
015276384,20,1
015276438,24,2
015276843,22,1
015278346,24,5
015278463,22,2
015278634,22,1
015283467,24,2
015283674,22,1
015283746,20,2
015284376,24,4
015284637,24,1
015284763,22,2
015286347,22,2
015286473,22,2
015286734,20,1
015287364,24,1
015287436,24,1
015287643,22,1
015324687,20,4
015324768,20,8
015324876,16,3
015326478,22,4
015326784,18,2
015326847,18,3
015327486,20,4
015327648,20,2
015327864,20,5
015328467,24,12
015328674,22,2
015328746,16,2
015342678,22,1
015342786,18,1
015342867,20,2
015346287,18,1
015346728,20,2
015346872,16,1
015347268,22,3
015347682,20,1
015347826,20,1
015348276,18,1
015348627,24,3
015348762,20,1
015362487,20,1
015362748,22,2
015362874,18,1
015364278,22,4
015364782,24,2
015364827,22,1
015367284,22,3
015367428,24,1
015367842,24,2
015368247,26,14
015368472,26,2
015368724,24,1
015372468,22,1
015372684,22,1
015372846,20,1
015374286,18,1
015374628,24,3
015374862,20,1
015376248,24,6
015376482,22,1
015376824,22,3
015378264,24,6
015378426,20,1
015378642,24,4
015382476,22,3
015382647,24,1
015382764,22,6
015384267,22,1
015384672,24,3
015384726,20,1
015386274,20,4
015386427,22,2
015386742,22,2
015387246,22,2
015387462,26,7
015387624,24,4
015423678,22,2
015423786,18,2
015423867,20,2
015426387,20,3
015426738,20,2
015426873,18,1
015427368,24,9
015427683,22,2
015427836,22,6
015428376,20,2
015428637,24,2
015428763,22,11
015432687,16,1
015432768,16,1
015432876,12,1
015436278,20,1
015436782,20,3
015436827,14,1
015437286,20,1
015437628,18,1
015437862,16,1
015438267,24,5
015438672,20,2
015438726,18,3
015462378,22,1
015462783,20,1
015462837,18,1
015463287,22,3
015463728,24,2
015463872,20,1
015467238,24,1
015467382,22,3
015467823,24,4
015468273,24,3
015468327,26,2
015468732,24,2
015472386,18,1
015472638,22,3
015472863,16,1
015473268,24,3
015473682,24,3
015473826,22,5
015476283,24,1
015476328,24,3
015476832,22,3
015478236,22,1
015478362,24,2
015478623,24,1
015482367,22,1
015482673,20,1
015482736,18,1
015483276,20,2
015483627,24,4
015483762,20,1
015486237,20,1
015486372,22,3
015486723,22,3
015487263,24,2
015487326,24,4
015487632,22,2
015623487,22,3
015623748,22,1
015623874,18,1
015624378,22,4
015624783,26,13
015624837,18,2
015627384,22,2
015627438,22,1
015627843,20,4
015628347,24,2
015628473,22,3
015628734,24,6
015632478,18,2
015632784,22,2
015632847,14,1
015634287,20,2
015634728,22,1
015634872,18,3
015637248,22,4
015637482,20,3
015637824,16,1
015638274,20,1
015638427,20,1
015638742,20,1
015642387,20,1
015642738,24,6
015642873,18,1
015643278,20,2
015643782,24,3
015643827,16,1
015647283,22,3
015647328,24,3
015647832,18,1
015648237,22,1
015648372,22,1
015648723,22,1
015672348,24,4
015672483,20,2
015672834,20,1
015673284,22,4
015673428,24,1
015673842,22,3
015674238,26,2
015674382,24,8
015674823,24,2
015678243,26,6
015678324,26,3
015678432,22,1
015682374,24,2
015682437,20,1
015682743,22,7
015683247,22,1
015683472,22,1
015683724,24,8
015684273,24,2
015684327,24,2
015684732,24,5
015687234,22,1
015687342,24,1
015687423,24,1
015723468,20,1
015723684,20,2
015723846,20,2
015724386,18,2
015724638,18,2
015724863,22,2
015726348,20,1
015726483,20,4
015726834,20,1
015728364,20,1
015728436,18,1
015728643,18,2
015732486,14,2
015732648,14,1
015732864,20,1
015734268,20,2
015734682,18,2
015734826,20,1
015736284,16,1
015736428,16,1
015736842,22,3
015738246,18,1
015738462,16,1
015738624,16,1
015742368,20,1
015742683,18,2
015742836,20,3
015743286,16,2
015743628,16,1
015743862,22,3
015746238,18,1
015746382,18,1
015746823,22,1
015748263,18,1
015748326,20,1
015748632,18,1
015762384,20,1
015762438,20,4
015762843,22,3
015763248,22,5
015763482,22,5
015763824,22,3
015764283,24,2
015764328,24,6
015764832,24,3
015768234,22,1
015768342,22,1
015768423,24,7
015782346,20,3
015782463,16,1
015782634,20,3
015783264,18,1
015783426,22,6
015783642,20,2
015784236,24,5
015784362,20,1
015784623,24,10
015786243,22,1
015786324,22,1
015786432,20,1
015823476,18,2
015823647,22,2
015823764,16,1
015824367,22,4
015824673,22,3
015824736,14,1
015826374,18,2
015826437,20,2
015826743,16,3
015827346,22,3
015827463,22,2
015827634,20,1
015832467,18,2
015832674,18,1
015832746,10,1
015834276,16,1
015834627,20,1
015834762,14,1
015836247,18,2
015836472,20,4
015836724,12,1
015837264,20,2
015837426,18,1
015837642,18,1
015842376,16,1
015842637,22,4
015842763,14,1
015843267,20,3
015843672,20,1
015843726,12,1
015846273,20,1
015846327,20,1
015846732,14,1
015847236,20,1
015847362,22,3
015847623,22,2
015862347,22,1
015862473,20,3
015862734,16,1
015863274,18,2
015863427,22,1
015863742,18,3
015864237,22,2
015864372,20,3
015864723,20,1
015867243,24,6
015867324,26,13
015867432,24,4
015872364,22,2
015872436,16,1
015872643,20,3
015873246,18,1
015873462,18,1
015873624,22,6
015874263,20,1
015874326,20,1
015874632,20,2
015876234,18,1
015876342,20,1
015876423,20,1
016234587,18,1
016234758,18,1
016234875,14,1
016235478,24,3
016235784,22,3
016235847,18,1
016237485,20,1
016237548,22,2
016237854,18,1
016238457,24,1
016238574,22,2
016238745,22,2
016243578,24,2
016243785,18,1
016243857,18,1
016245387,22,2
016245738,24,9
016245873,22,7
016247358,26,4
016247583,24,3
016247835,20,1
016248375,24,2
016248537,26,3
016248753,20,3
016253487,20,1
016253748,22,4
016253874,18,2
016254378,24,1
016254783,26,12
016254837,20,2
016257384,24,2
016257438,22,1
016257843,22,2
016258347,28,6
016258473,22,2
016258734,24,5
016273458,26,7
016273584,20,1
016273845,22,2
016274385,20,1
016274538,24,4
016274853,22,2
016275348,26,1
016275483,24,2
016275834,26,1
016278354,24,1
016278435,24,1
016278543,20,1
016283475,20,1
016283547,20,1
016283754,16,1
016284357,24,1
016284573,24,1
016284735,20,2
016285374,26,3
016285437,24,2
016285743,20,1
016287345,26,2
016287453,24,1
016287534,24,2
016324578,22,2
016324785,18,2
016324857,20,3
016325487,20,1
016325748,20,4
016325874,18,2
016327458,24,6
016327584,20,2
016327845,22,5
016328475,24,3
016328547,24,4
016328754,16,2
016342587,20,1
016342758,20,4
016342875,16,1
016345278,22,3
016345782,24,2
016345827,20,1
016347285,22,2
016347528,24,1
016347852,22,4
016348257,26,11
016348572,26,6
016348725,22,2
016352478,26,12
016352784,22,3
016352847,20,1
016354287,22,4
016354728,24,4
016354872,20,2
016357248,24,3
016357482,22,1
016357824,24,5
016358274,18,1
016358427,26,1
016358742,22,1
016372485,22,2
016372548,22,1
016372854,18,1
016374258,22,1
016374582,24,2
016374825,22,4
016375284,20,1
016375428,24,2
016375842,24,3
016378245,26,1
016378452,26,1
016378524,20,1
016382457,26,5
016382574,22,1
016382745,22,1
016384275,20,6
016384527,24,5
016384752,20,1
016385247,24,5
016385472,24,1
016385724,22,1
016387254,22,1
016387425,26,3
016387542,26,10
016423587,22,2
016423758,20,3
016423875,14,1
016425378,24,3
016425783,24,9
016425837,18,1
016427385,24,3
016427538,26,6
016427853,18,1
016428357,28,13
016428573,24,1
016428735,22,3
016432578,22,2
016432785,20,3
016432857,16,1
016435287,20,2
016435728,22,2
016435872,18,2
016437258,24,4
016437582,22,3
016437825,18,1
016438275,22,2
016438527,24,2
016438752,20,3
016452387,22,2
016452738,22,2
016452873,18,2
016453278,22,1
016453782,24,5
016453827,18,1
016457283,22,2
016457328,26,6
016457832,20,1
016458237,26,5
016458372,22,1
016458723,26,8
016472358,24,1
016472583,22,2
016472835,20,1
016473285,18,1
016473528,24,1
016473852,22,2
016475238,24,1
016475382,24,4
016475823,24,1
016478253,24,3
016478325,26,5
016478532,24,3
016482375,24,12
016482537,22,1
016482753,20,7
016483257,24,2
016483572,24,1
016483725,20,2
016485273,22,1
016485327,24,6
016485732,24,8
016487235,24,1
016487352,26,4
016487523,24,4
016523478,24,6
016523784,20,1
016523847,18,1
016524387,22,5
016524738,24,11
016524873,18,3
016527348,24,3
016527483,22,1
016527834,22,4
016528374,20,1
016528437,26,7
016528743,20,1
016532487,18,1
016532748,20,3
016532874,14,3
016534278,20,1
016534782,24,9
016534827,16,1
016537284,22,4
016537428,20,1
016537842,18,2
016538247,24,2
016538472,20,1
016538724,22,6
016542378,22,1
016542783,22,2
016542837,18,1
016543287,20,1
016543728,22,1
016543872,18,4
016547238,22,1
016547382,24,6
016547823,22,3
016548273,24,4
016548327,26,3
016548732,24,6
016572384,20,3
016572438,20,1
016572843,16,1
016573248,24,2
016573482,24,4
016573824,20,1
016574283,24,3
016574328,24,1
016574832,20,1
016578234,26,3
016578342,26,11
016578423,26,4
016582347,24,2
016582473,20,2
016582734,20,3
016583274,24,14
016583427,24,3
016583742,22,3
016584237,22,1
016584372,24,3
016584723,24,6
016587243,26,4
016587324,26,2
016587432,22,1
016723485,18,1
016723548,20,2
016723854,16,1
016724358,22,5
016724583,18,3
016724835,20,2
016725384,22,4
016725438,22,4
016725843,20,1
016728345,24,5
016728453,22,6
016728534,18,1
016732458,18,1
016732584,14,3
016732845,20,2
016734285,16,1
016734528,16,1
016734852,20,1
016735248,20,1
016735482,18,1
016735824,22,3
016738254,18,1
016738425,20,2
016738542,16,1
016742385,18,1
016742538,18,2
016742853,20,2
016743258,20,1
016743582,18,3
016743825,18,2
016745283,22,1
016745328,24,5
016745832,24,7
016748235,22,1
016748352,22,3
016748523,20,1
016752348,22,2
016752483,18,2
016752834,20,3
016753284,20,3
016753428,20,1
016753842,22,7
016754238,22,3
016754382,22,6
016754823,24,6
016758243,22,1
016758324,24,6
016758432,20,1
016782354,18,1
016782435,18,1
016782543,14,1
016783245,22,2
016783452,22,1
016783524,18,1
016784253,22,2
016784325,22,2
016784532,18,1
016785234,28,24
016785342,24,3
016785423,24,2
016823457,20,1
016823574,18,1
016823745,16,2
016824375,18,4
