PdTarget=0.10 n=1539
 p3 s=18 19/20 Pd=0.95
 p4 s=18 20/20 Pd=1.00
 p5 s=18 12/20 Pd=0.60
 p6 s=18 20/20 Pd=1.00
 p7 s=20 16/20 Pd=0.80
 p8 s=19 19/20 Pd=0.95
 p9 s=20 19/20 Pd=0.95
 p10 s=20 11/20 Pd=0.55
 Pdavg=0.85 Pdest=0.95
PdTarget=0.97 n=51248
 p1 s=18 20/20 Pd=1.00
 p2 s=18 15/20 Pd=0.75
 p3 s=18 20/20 Pd=1.00
 p4 s=18 20/20 Pd=1.00
 p5 s=18 11/20 Pd=0.55
 p6 s=18 19/20 Pd=0.95
 p7 s=20 18/20 Pd=0.90
 p8 s=19 20/20 Pd=1.00
 p9 s=20 20/20 Pd=1.00
 p10 s=20 11/20 Pd=0.55
 Pdavg=0.87 Pdest=0.97
PdTarget=0.99 n=67304
 p1 s=18 20/20 Pd=1.00
 p2 s=18 17/20 Pd=0.85
 p3 s=18 20/20 Pd=1.00
 p4 s=18 20/20 Pd=1.00
 p5 s=18 15/20 Pd=0.75
 p6 s=18 20/20 Pd=1.00
 p7 s=20 19/20 Pd=0.95
 p8 s=19 20/20 Pd=1.00
 p9 s=20 20/20 Pd=1.00
 p10 s=20 18/20 Pd=0.90
 Pdavg=0.94 Pdest=0.99
