Theory Testing  k=2 n=10 sims=200 m=1
    i,Ctheo,CtheoA, Cact,nTtheo, nTact,Pdtheo, Pdact,C0act,T0act,C1act,T1act,C2act,T2act
   11, 0.99,  0.97, 0.99,  3.67,  3.59,  0.99,  0.98, 1.00,    3, 1.00,    3, 1.00,    3
   12, 0.99,  0.98, 0.99,  4.00,  3.94,  0.99,  0.99, 1.00,    3, 1.00,    3, 1.00,    3
   13, 0.99,  0.99, 0.99,  4.33,  4.26,  0.99,  1.00, 1.00,    3, 1.00,    4, 1.00,    3
   14, 1.00,  0.99, 1.00,  4.67,  4.62,  1.00,  1.00, 1.00,    3, 1.00,    4, 1.00,    3
Theory Testing  k=6 n=30 sims=200 m=3
    i,Ctheo,CtheoA, Cact,nTtheo, nTact,Pdtheo, Pdact,C0act,T0act,C1act,T1act,C2act,T2act
    0, 0.00,  0.00, 0.00,  0.00,  0.00,  0.00,  0.00, 0.00,    0, 0.00,    0, 0.00,    0
    1, 0.17,  0.15, 0.17,  0.50,  0.48,  0.50,  0.48, 0.17,    1, 0.17,    1, 0.17,    0
    2, 0.31,  0.28, 0.31,  1.00,  0.97,  0.75,  0.72, 0.17,    2, 0.33,    2, 0.33,    1
    3, 0.42,  0.39, 0.42,  1.50,  1.52,  0.88,  0.89, 0.33,    3, 0.50,    2, 0.50,    2
    4, 0.52,  0.49, 0.53,  2.00,  2.02,  0.94,  0.95, 0.50,    3, 0.50,    3, 0.50,    3
    5, 0.60,  0.57, 0.61,  2.50,  2.48,  0.97,  0.98, 0.50,    3, 0.67,    4, 0.50,    4
    6, 0.67,  0.63, 0.67,  3.00,  2.93,  0.98,  0.99, 0.67,    3, 0.67,    5, 0.67,    5
    7, 0.72,  0.69, 0.73,  3.50,  3.44,  0.99,  1.00, 0.83,    3, 0.67,    6, 0.67,    5
    8, 0.77,  0.74, 0.77,  4.00,  3.97,  1.00,  1.00, 1.00,    4, 0.67,    7, 0.67,    5
    9, 0.81,  0.78, 0.81,  4.50,  4.49,  1.00,  1.00, 1.00,    5, 0.67,    8, 0.67,    6
   10, 0.84,  0.81, 0.84,  5.00,  4.98,  1.00,  1.00, 1.00,    6, 0.67,    9, 0.83,    6
   11, 0.87,  0.84, 0.87,  5.50,  5.50,  1.00,  1.00, 1.00,    7, 0.67,    9, 0.83,    6
   12, 0.89,  0.86, 0.89,  6.00,  6.05,  1.00,  1.00, 1.00,    7, 0.83,    9, 0.83,    6
   13, 0.91,  0.89, 0.91,  6.50,  6.52,  1.00,  1.00, 1.00,    7, 0.83,   10, 0.83,    7
   14, 0.92,  0.90, 0.92,  7.00,  7.04,  1.00,  1.00, 1.00,    8, 0.83,   11, 0.83,    8
   15, 0.94,  0.92, 0.93,  7.50,  7.55,  1.00,  1.00, 1.00,    9, 0.83,   12, 1.00,    8
   16, 0.95,  0.93, 0.94,  8.00,  8.07,  1.00,  1.00, 1.00,    9, 0.83,   12, 1.00,    9
   17, 0.95,  0.94, 0.95,  8.50,  8.57,  1.00,  1.00, 1.00,   10, 1.00,   12, 1.00,   10
   18, 0.96,  0.95, 0.96,  9.00,  9.10,  1.00,  1.00, 1.00,   10, 1.00,   12, 1.00,   11
   19, 0.97,  0.96, 0.97,  9.50,  9.58,  1.00,  1.00, 1.00,   10, 1.00,   13, 1.00,   11
   20, 0.97,  0.96, 0.97, 10.00, 10.08,  1.00,  1.00, 1.00,   10, 1.00,   13, 1.00,   12
   21, 0.98,  0.97, 0.98, 10.50, 10.59,  1.00,  1.00, 1.00,   11, 1.00,   14, 1.00,   13
   22, 0.98,  0.97, 0.98, 11.00, 11.06,  1.00,  1.00, 1.00,   11, 1.00,   15, 1.00,   13
   23, 0.98,  0.98, 0.98, 11.50, 11.59,  1.00,  1.00, 1.00,   11, 1.00,   16, 1.00,   14
   24, 0.99,  0.98, 0.99, 12.00, 12.10,  1.00,  1.00, 1.00,   12, 1.00,   17, 1.00,   14
   25, 0.99,  0.98, 0.99, 12.50, 12.66,  1.00,  1.00, 1.00,   13, 1.00,   18, 1.00,   15
   26, 0.99,  0.99, 0.99, 13.00, 13.18,  1.00,  1.00, 1.00,   13, 1.00,   18, 1.00,   15
   27, 0.99,  0.99, 0.99, 13.50, 13.71,  1.00,  1.00, 1.00,   13, 1.00,   18, 1.00,   16
   28, 0.99,  0.99, 0.99, 14.00, 14.20,  1.00,  1.00, 1.00,   13, 1.00,   18, 1.00,   16
   29, 0.99,  0.99, 0.99, 14.50, 14.73,  1.00,  1.00, 1.00,   14, 1.00,   18, 1.00,   17
Theory Testing  k=40 n=200 sims=200 m=2
    i,Ctheo,CtheoA, Cact,nTtheo, nTact,Pdtheo, Pdact,C0act,T0act,C1act,T1act,C2act,T2act
    0, 0.00,  0.00, 0.00,  0.00,  0.00,  0.00,  0.00, 0.00,    0, 0.00,    0, 0.00,    0
    8, 0.18,  0.18, 0.19,  0.40,  0.40,  0.34,  0.33, 0.20,    0, 0.15,    2, 0.15,    0
   16, 0.33,  0.33, 0.34,  0.80,  0.77,  0.56,  0.52, 0.33,    0, 0.35,    2, 0.33,    0
   24, 0.46,  0.45, 0.46,  1.20,  1.10,  0.71,  0.69, 0.42,    0, 0.45,    2, 0.42,    1
   32, 0.56,  0.55, 0.55,  1.60,  1.49,  0.81,  0.77, 0.53,    1, 0.50,    3, 0.53,    2
   40, 0.64,  0.63, 0.63,  2.00,  1.85,  0.87,  0.83, 0.57,    1, 0.63,    4, 0.63,    3
   48, 0.70,  0.70, 0.70,  2.40,  2.29,  0.91,  0.91, 0.60,    1, 0.72,    5, 0.72,    3
   56, 0.76,  0.75, 0.76,  2.80,  2.79,  0.94,  0.95, 0.68,    1, 0.82,    6, 0.80,    4
   64, 0.80,  0.80, 0.80,  3.20,  3.17,  0.96,  0.96, 0.78,    1, 0.85,    6, 0.80,    5
   72, 0.84,  0.83, 0.84,  3.60,  3.62,  0.98,  0.97, 0.85,    1, 0.90,    7, 0.80,    5
   80, 0.87,  0.86, 0.87,  4.00,  4.01,  0.98,  0.99, 0.85,    2, 0.93,    7, 0.80,    6
   88, 0.89,  0.89, 0.89,  4.40,  4.46,  0.99,  1.00, 0.90,    3, 0.95,    7, 0.88,    6
   96, 0.91,  0.91, 0.91,  4.80,  4.84,  0.99,  1.00, 0.90,    4, 0.95,    7, 0.90,    7
  104, 0.93,  0.93, 0.93,  5.20,  5.32,  1.00,  1.00, 0.93,    4, 0.95,    9, 0.93,    8
  112, 0.94,  0.94, 0.94,  5.60,  5.68,  1.00,  1.00, 0.95,    4, 0.95,   11, 0.95,    8
  120, 0.95,  0.95, 0.95,  6.00,  6.19,  1.00,  1.00, 0.95,    4, 0.95,   11, 0.95,    8
  128, 0.96,  0.96, 0.96,  6.40,  6.60,  1.00,  1.00, 0.97,    4, 0.95,   11, 0.97,    9
  136, 0.97,  0.97, 0.97,  6.80,  6.98,  1.00,  1.00, 0.97,    4, 0.95,   11, 0.97,    9
  144, 0.97,  0.97, 0.98,  7.20,  7.28,  1.00,  1.00, 1.00,    4, 0.95,   12, 0.97,    9
  152, 0.98,  0.98, 0.98,  7.60,  7.62,  1.00,  1.00, 1.00,    5, 0.95,   12, 0.97,   10
  160, 0.98,  0.98, 0.98,  8.00,  8.05,  1.00,  1.00, 1.00,    5, 0.95,   12, 0.97,   11
  168, 0.99,  0.99, 0.99,  8.40,  8.46,  1.00,  1.00, 1.00,    5, 0.97,   12, 0.97,   12
  176, 0.99,  0.99, 0.99,  8.80,  8.89,  1.00,  1.00, 1.00,    5, 1.00,   12, 0.97,   12
  184, 0.99,  0.99, 0.99,  9.20,  9.25,  1.00,  1.00, 1.00,    5, 1.00,   13, 0.97,   12
  192, 0.99,  0.99, 0.99,  9.60,  9.68,  1.00,  1.00, 1.00,    5, 1.00,   13, 0.97,   12
  199, 0.99,  0.99, 0.99,  9.95, 10.00,  1.00,  1.00, 1.00,    5, 1.00,   13, 0.97,   12
Theory Testing  k=1000 n=5000 sims=200 m=4
    i,Ctheo,CtheoA, Cact,nTtheo, nTact,Pdtheo, Pdact,C0act,T0act,C1act,T1act,C2act,T2act
    0, 0.00,  0.00, 0.00,  0.00,  0.00,  0.00,  0.00, 0.00,    0, 0.00,    0, 0.00,    0
  200, 0.18,  0.18, 0.18,  0.80,  0.76,  0.55,  0.54, 0.18,    0, 0.18,    0, 0.18,    0
  400, 0.33,  0.33, 0.33,  1.60,  1.55,  0.80,  0.76, 0.33,    0, 0.32,    1, 0.33,    3
  600, 0.45,  0.45, 0.45,  2.40,  2.40,  0.91,  0.92, 0.45,    0, 0.44,    3, 0.45,    3
  800, 0.55,  0.55, 0.55,  3.20,  3.15,  0.96,  0.96, 0.56,    1, 0.55,    3, 0.56,    4
 1000, 0.63,  0.63, 0.63,  4.00,  4.02,  0.98,  0.98, 0.63,    2, 0.63,    5, 0.65,    5
 1200, 0.70,  0.70, 0.70,  4.80,  4.92,  0.99,  1.00, 0.69,    4, 0.69,    6, 0.72,    6
 1400, 0.75,  0.75, 0.75,  5.60,  5.75,  1.00,  1.00, 0.75,    4, 0.76,    7, 0.76,    6
 1600, 0.80,  0.80, 0.80,  6.40,  6.63,  1.00,  1.00, 0.79,    4, 0.80,    8, 0.81,    8
 1800, 0.83,  0.83, 0.83,  7.20,  7.50,  1.00,  1.00, 0.84,    6, 0.83,    9, 0.84,    9
 2000, 0.86,  0.86, 0.86,  8.00,  8.14,  1.00,  1.00, 0.87,    7, 0.87,   10, 0.86,    9
 2200, 0.89,  0.89, 0.89,  8.80,  8.97,  1.00,  1.00, 0.89,   10, 0.90,   10, 0.89,    9
 2400, 0.91,  0.91, 0.91,  9.60,  9.81,  1.00,  1.00, 0.91,   11, 0.92,   12, 0.91,   10
 2600, 0.93,  0.93, 0.93, 10.40, 10.71,  1.00,  1.00, 0.92,   11, 0.94,   13, 0.93,   11
 2800, 0.94,  0.94, 0.94, 11.20, 11.45,  1.00,  1.00, 0.93,   11, 0.95,   14, 0.94,   11
 3000, 0.95,  0.95, 0.95, 12.00, 12.20,  1.00,  1.00, 0.95,   13, 0.96,   15, 0.95,   11
 3200, 0.96,  0.96, 0.96, 12.80, 13.07,  1.00,  1.00, 0.96,   14, 0.96,   17, 0.96,   11
 3400, 0.97,  0.97, 0.97, 13.60, 13.79,  1.00,  1.00, 0.96,   17, 0.97,   18, 0.97,   12
 3600, 0.97,  0.97, 0.97, 14.40, 14.58,  1.00,  1.00, 0.98,   17, 0.98,   18, 0.97,   12
 3800, 0.98,  0.98, 0.98, 15.20, 15.42,  1.00,  1.00, 0.98,   18, 0.98,   19, 0.98,   12
 4000, 0.98,  0.98, 0.98, 16.00, 16.19,  1.00,  1.00, 0.98,   19, 0.98,   21, 0.98,   12
 4200, 0.99,  0.99, 0.99, 16.80, 16.99,  1.00,  1.00, 0.99,   19, 0.99,   21, 0.99,   14
 4400, 0.99,  0.99, 0.99, 17.60, 17.81,  1.00,  1.00, 0.99,   20, 0.99,   21, 0.99,   15
 4600, 0.99,  0.99, 0.99, 18.40, 18.64,  1.00,  1.00, 0.99,   21, 0.99,   21, 0.99,   15
 4800, 0.99,  0.99, 0.99, 19.20, 19.43,  1.00,  1.00, 1.00,   22, 0.99,   21, 0.99,   16
 4999, 0.99,  0.99, 0.99, 20.00, 20.20,  1.00,  1.00, 1.00,   24, 1.00,   22, 0.99,   16
Theory Testing  k=4000 n=20000 sims=200 m=1
    i,Ctheo,CtheoA, Cact,nTtheo, nTact,Pdtheo, Pdact,C0act,T0act,C1act,T1act,C2act,T2act
    0, 0.00,  0.00, 0.00,  0.00,  0.00,  0.00,  0.00, 0.00,    0, 0.00,    0, 0.00,    0
  800, 0.18,  0.18, 0.18,  0.20,  0.22,  0.18,  0.20, 0.18,    0, 0.18,    0, 0.18,    0
 1600, 0.33,  0.33, 0.33,  0.40,  0.44,  0.33,  0.39, 0.32,    0, 0.33,    0, 0.33,    0
 2400, 0.45,  0.45, 0.45,  0.60,  0.73,  0.45,  0.53, 0.45,    0, 0.45,    0, 0.45,    0
 3200, 0.55,  0.55, 0.55,  0.80,  0.97,  0.55,  0.62, 0.55,    0, 0.55,    0, 0.55,    0
 4000, 0.63,  0.63, 0.63,  1.00,  1.16,  0.63,  0.69, 0.64,    0, 0.63,    0, 0.64,    0
 4800, 0.70,  0.70, 0.70,  1.20,  1.34,  0.70,  0.76, 0.71,    1, 0.70,    0, 0.70,    0
 5600, 0.75,  0.75, 0.75,  1.40,  1.52,  0.75,  0.80, 0.76,    1, 0.75,    0, 0.76,    1
 6400, 0.80,  0.80, 0.80,  1.60,  1.76,  0.80,  0.83, 0.81,    1, 0.79,    0, 0.80,    1
 7200, 0.83,  0.83, 0.83,  1.80,  1.92,  0.83,  0.86, 0.84,    1, 0.83,    0, 0.84,    2
 8000, 0.86,  0.86, 0.86,  2.00,  2.07,  0.86,  0.91, 0.87,    1, 0.87,    0, 0.87,    2
 8800, 0.89,  0.89, 0.89,  2.20,  2.23,  0.89,  0.91, 0.90,    1, 0.89,    0, 0.90,    2
 9600, 0.91,  0.91, 0.91,  2.40,  2.44,  0.91,  0.92, 0.92,    1, 0.91,    0, 0.91,    2
10400, 0.93,  0.93, 0.93,  2.60,  2.66,  0.93,  0.94, 0.93,    1, 0.92,    0, 0.93,    2
11200, 0.94,  0.94, 0.94,  2.80,  2.85,  0.94,  0.96, 0.94,    2, 0.94,    0, 0.94,    2
12000, 0.95,  0.95, 0.95,  3.00,  3.06,  0.95,  0.97, 0.95,    2, 0.95,    1, 0.95,    2
12800, 0.96,  0.96, 0.96,  3.20,  3.27,  0.96,  0.98, 0.96,    2, 0.96,    1, 0.96,    3
13600, 0.97,  0.97, 0.97,  3.40,  3.50,  0.97,  0.98, 0.97,    3, 0.97,    1, 0.97,    3
14400, 0.97,  0.97, 0.97,  3.60,  3.71,  0.97,  0.98, 0.97,    3, 0.97,    1, 0.97,    4
15200, 0.98,  0.98, 0.98,  3.80,  3.97,  0.98,  0.98, 0.98,    3, 0.98,    1, 0.98,    5
16000, 0.98,  0.98, 0.98,  4.00,  4.11,  0.98,  0.99, 0.98,    3, 0.98,    1, 0.98,    5
16800, 0.99,  0.99, 0.98,  4.20,  4.34,  0.99,  1.00, 0.98,    3, 0.98,    1, 0.98,    5
17600, 0.99,  0.99, 0.99,  4.40,  4.59,  0.99,  1.00, 0.99,    3, 0.99,    2, 0.99,    7
18400, 0.99,  0.99, 0.99,  4.60,  4.77,  0.99,  1.00, 0.99,    3, 0.99,    2, 0.99,    7
19200, 0.99,  0.99, 0.99,  4.80,  4.92,  0.99,  1.00, 0.99,    3, 0.99,    5, 0.99,    7
19999, 0.99,  0.99, 0.99,  5.00,  5.17,  0.99,  1.00, 0.99,    3, 0.99,    6, 0.99,    7
